0,1
-12.0428595538,-77.0401426798
-12.051490366,-77.031182688
-12.0440989577,-77.0351225109
-12.0465446688,-77.0381891058
-12.051533344,-77.034343115
-12.1283810079,-77.02998689
-11.9193890685,-76.7601333594
-12.0484386723,-77.0304094255
-12.0472172077,-77.0332009737
-12.0621198097,-77.0830070972
-12.0487899983,-77.0337641059
-12.0420417317,-77.0392011287
-12.1295338851,-77.0258227525
-12.0446288308,-77.0358146348
-12.0494373721,-77.0301559044
-12.0459563828,-77.0406268057
-12.0502407821,-77.0297279143
-12.0492239767,-77.0336478452
-12.0469492888,-77.0300989229
-12.0501013219,-77.0338143045
-12.0464570848,-77.0341530089
-12.0510850968,-77.0283731315
-12.0497726851,-77.0323704269
-12.0442687296,-77.0381695687
-12.0435583783,-77.0388353719
-12.12780391,-77.0294075192
-12.1282238168,-77.0259109466
-12.0450792605,-77.0355206994
-12.0500563272,-77.0297556394
-12.0462948201,-77.0367996716
-12.0520490177,-77.0281681831
-12.0467741741,-77.0358742231
-12.0449748474,-77.04088164
-12.050560188,-77.0291840245
-12.0509769964,-77.0265032452
-12.0474289322,-77.0342790485
-12.1317279184,-77.026668883
-12.0458881823,-77.0359373505
-12.0501482198,-77.0260658365
-12.1288734139,-77.028345964
-12.0438219223,-77.0387108697
-11.979167526,-76.6741654946
-12.0447209912,-77.0378548407
-12.0428452953,-77.0412800801
-11.7369320161,-76.8650863096
-12.0231834081,-76.9100320046
-12.0516569723,-77.0286235717
-12.1275033004,-77.0287205913
-12.0462293377,-77.0372202194
-12.0449034347,-77.0416924378
-12.0456984763,-77.0426516987
-12.0480615011,-77.0369497893
-12.0478942531,-77.0344042417
-12.1279833281,-77.0292188349
-12.0447687359,-77.0366780902
-12.0446981717,-77.0408991747
-12.0418362827,-76.8027400122
-12.0478472506,-77.0345502621
-12.0416182228,-77.0422221691
-12.0484695701,-77.0340848303
-12.0510312471,-77.0254848211
-12.0501862405,-77.0255216639
-12.0447136894,-77.0406850393
-12.1286257148,-77.0298692922
-12.0443178972,-77.0343593412
-12.0509535368,-77.0307177522
-12.0483980648,-77.0386880635
-12.0525631135,-77.0280452341
-12.1293232738,-77.0277412279
-12.0459974972,-77.0418862604
-12.0514942276,-77.0302428587
-12.0491826242,-77.0338160722
-12.048110489,-77.0388240865
-11.6115667313,-77.0674822677
-12.0463611705,-77.035261535
-12.0443963148,-77.0415153847
-12.0514087597,-77.0273895652
-12.0433926117,-77.0412211322
-12.0488160909,-77.0341677274
-12.0470155223,-77.0296602996
-12.0458586812,-77.0387761363
-11.8386845834,-76.6783365303
-11.7964949468,-77.0900362695
-12.047968813,-77.032141985
-12.053847648,-77.0276316353
-12.0509133514,-77.0299372356
-12.1278218448,-77.0253310228
-12.0529894152,-77.0260296837
-12.1272223746,-77.0276422852
-12.0510740512,-77.0304825091
-12.1311897809,-77.0259095132
-12.0506994406,-76.7913690402
-12.0456854434,-77.0394071409
-12.1289739346,-77.0260674518
-12.0473006456,-77.0383464713
-12.1271943803,-77.0294089564
-12.0494900665,-77.0327261503
-12.0484296884,-77.0344313845
-12.0464198944,-77.0357724657
-12.1284118362,-77.02542009
-12.0497427746,-77.0267255176
-12.0484853679,-77.0341775234
-12.0655077511,-77.0910231178
-12.0534889766,-77.0289786794
-12.0455641134,-77.0387326401
-12.0503525301,-77.0333377787
-12.0511907409,-77.0290792366
-12.0485555798,-77.0297093584
-12.0432981958,-77.0396847262
-11.8377804097,-76.6896511748
-12.051408698,-77.0277448922
-12.1307356435,-77.0301128328
-12.1280375259,-77.0291706455
-12.0462040851,-77.0408447556
-12.0453329032,-77.0352783373
-12.0437184991,-77.0423784758
-12.0454778982,-77.0366248352
-12.0498276791,-77.0345126205
-12.0497050745,-77.0274378834
-12.0484060129,-77.0353112162
-12.0500817266,-77.0298136412
-12.0454832021,-77.0392677824
-11.6830056193,-76.9029953232
-12.1314105758,-77.0293285675
-12.0420647732,-77.0389709007
-12.0544181968,-77.0272069977
-12.0538618685,-77.0299576728
-12.0453298517,-77.0383227814
-12.128992734,-77.029198379
-12.0449069498,-77.0387951456
-12.0427878519,-77.0418205706
-12.1295210227,-77.0268693857
-12.0493456507,-77.0302640654
-12.0438260776,-77.0385990783
-12.0336387287,-77.0799426631
-12.1309898168,-77.0253996203
-12.131307111,-77.0288864583
-12.0418826105,-77.0424392658
-12.041793413,-77.0400937585
-12.0475900806,-77.0345640685
-12.046445716,-77.0388243947
-12.0472095195,-77.0352615281
-12.1278973799,-77.0263172207
-12.0471310033,-77.0383671396
-12.1282770309,-77.0292299461
-12.052897196,-77.0261788869
-12.1299077527,-77.030063005
-12.0478644693,-77.0343110332
-12.0439014667,-77.0357853218
-12.0486998037,-77.0364626446
-12.0430365809,-77.041548086
-12.0428332285,-77.0424041267
-12.0507623852,-77.0278389776
-12.049079744,-77.0310930559
-12.1286659507,-77.0297684273
-12.0483491193,-77.0385449627
-12.0504135512,-77.0334800054
-12.0446126047,-77.0356434492
-12.1291748639,-77.0266584789
-12.048089945,-77.0319602131
-12.0489358847,-77.0314562654
-12.0452405229,-77.0425795839
-12.0173236748,-76.8501243171
-12.0522013344,-77.0265725723
-12.131603046,-77.0301338257
-11.9797290465,-77.0496557294
-12.1307247918,-77.0300521739
-11.598980849,-77.0556984852
-12.0511648216,-77.0331331124
-12.0416903019,-77.0423698162
-12.0429412411,-77.0384421372
-12.0536098374,-77.0281929366
-12.0449158736,-77.0416248296
-12.1299323242,-77.0255066787
-12.0463249977,-77.0380022385
-12.0514489493,-77.0309032523
